Microsoft .NET AppHost Pack - 8.0.7 (x64_arm64)                                64.28.16731      
Microsoft .NET AppHost Pack - 8.0.15 (x64_arm64)                               64.60.31149      
Windows IoT Extension SDK                                                      10.1.22621.3233  
Windows SDK Desktop Headers x64                                                10.1.22621.3233  
Microsoft .NET Host FX Resolver - 6.0.36 (x64)                                 48.144.23141     
Microsoft .NET Framework 4.8 SDK                                               4.8.03928        
SQL Server 2022 Shared Management Objects Extensions                           16.0.1000.6      
vs_SQLClickOnceBootstrappermsi                                                 17.10.34803      
Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)                       64.60.31025      
icecap_collectionresourcesx64                                                  17.10.34804      
Microsoft ASP.NET Core 8.0.7 Targeting Pack (x86)                              8.0.7.24314      
SQL Server 2022 Database Engine Services                                       16.0.1000.6      
Aspire.Hosting.Sdk (x64)                                                       8.0.0.0          
Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)                                   17.0.8478        
Microsoft Analysis Services OLE DB Provider                                    16.0.5143.0      
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)                           17.2.8053        
Windows App Certification Kit SupportedApiList x86                             10.1.22621.3233  
Python Launcher                                                                3.12.4150.0      
WPTx64 (OnecoreUAP)                                                            10.1.22621.3233  
vs_communityx64msi                                                             17.10.34804      
Browser for SQL Server 2022                                                    16.0.1000.6      
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)                                  17.2.8053        
Microsoft .NET Framework 4.8 Targeting Pack (ENU)                              4.8.03761        
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                          64.60.31025      
Universal CRT Tools x86                                                        10.1.22621.3233  
Windows SDK Desktop Tools x64                                                  10.1.22621.3233  
MySQL Workbench 8.0 CE                                                         8.0.40           
Microsoft Help Viewer 2.3                                                      2.3.28307        
PuTTY release 0.81 (64-bit)                                                    0.81.0.0         
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)                                64.0.5426        
Java(TM) SE Development Kit 22.0.1 (64-bit)                                    22.0.1.0         
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34433                    14.42.34433      
Dell SupportAssist Remediation                                                 5.5.13.0         
vs_Graphics_Singletonx86                                                       17.10.34804      
Python 3.12.4 Tcl/Tk Support (64-bit)                                          3.12.4150.0      
vs_BlendMsi                                                                    17.10.34803      
IIS 10.0 Express                                                               10.0.08608       
Microsoft .NET Toolset 8.0.311 (x64)                                           32.11.59845      
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.42.34433                 14.42.34433      
SQL Server 2022 DMF                                                            16.0.1000.6      
Microsoft SQL Server 2022 Setup (English)                                      16.0.1135.2      
Aspire.Hosting (x64)                                                           8.0.0.0          
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161                 9.0.30729.6161   
Microsoft .NET Host FX Resolver - 8.0.15 (x64)                                 64.60.31149      
Microsoft .NET Toolset 8.0.303 (x64)                                           32.8.56572       
vs_devenvsharedmsi                                                             17.10.34803      
Microsoft .NET Host - 8.0.7 (x86)                                              64.28.16731      
Windows SDK for Windows Store Apps Libs                                        10.1.22621.3233  
WinRT Intellisense IoT - Other Languages                                       10.1.22621.3233  
Windows Subsystem for Linux                                                    2.4.11.0         
vs_vswebprotocolselectormsi                                                    17.10.34803      
Microsoft ASP.NET Core Module V2 for IIS Express                               17.0.22116.0     
Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)                                 14.0.8478        
Python 3.12.4 Core Interpreter (64-bit)                                        3.12.4150.0      
Microsoft ASP.NET Core 8.0.15 Shared Framework (x64)                           8.0.15.25165     
Microsoft .NET Host - 6.0.36 (x64)                                             48.144.23141     
Microsoft .NET Framework 4.6 Targeting Pack                                    4.6.00081        
